label,subject,message
phishing,ACTION REQUIRED: Banking account verification #60790987,"Valued Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 2 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 60790987. Failure to verify may result in permanent account suspension!"
phishing,ACTION REQUIRED: Banking account verification #87047671,"Dear User, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 4 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 87047671."
phishing,ACTION REQUIRED: Google account verification #55206206,"Dear Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 2 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 55206206."
phishing,IMPORTANT: Google account verification #60564108,"Dear Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 12 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 60564108. Failure to verify may result in permanent account suspension!"
phishing,URGENT: PayPal account verification #16217039,"Valued Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 16217039. Do not ignore this security request."
phishing,SECURITY ALERT: Apple account verification #20772657,"Valued Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 1 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 20772657."
phishing,ACTION REQUIRED: Banking account verification #73257520,"Valued Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 2 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 73257520. Failure to verify may result in permanent account suspension!"
phishing,FINAL WARNING: Amazon account verification #11333433,"Dear Customer, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 11333433."
phishing,FINAL WARNING: Apple account verification #52400581,"Valued Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 48 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 52400581."
phishing,ACTION REQUIRED: PayPal account verification #1897747,"Dear Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 1 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 1897747. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,URGENT: Microsoft account verification #86742219,"Dear Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 4 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 86742219."
phishing,SECURITY ALERT: Corporate account verification #43992209,"Dear User, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 24 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 43992209."
phishing,IMPORTANT: Cloud account verification #66783671,"Valued Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 6 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 66783671. Failure to verify may result in permanent account suspension!"
phishing,FINAL WARNING: Amazon account verification #79358819,"Dear User, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 79358819."
phishing,URGENT: Cloud account verification #80292676,"Valued Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 2 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 80292676. Do not ignore this security request."
phishing,FINAL WARNING: Payroll account verification #26239751,"Dear Customer, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 24 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 26239751. Failure to verify may result in permanent account suspension!"
phishing,FINAL WARNING: Corporate account verification #60643368,"Dear User, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 48 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 60643368."
phishing,FINAL WARNING: Microsoft account verification #86658987,"Valued Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 86658987."
phishing,FINAL WARNING: Amazon account verification #88748837,"Dear User, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 48 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 88748837. Failure to verify may result in permanent account suspension!"
phishing,URGENT: Apple account verification #71540513,"Dear User, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 6 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 71540513. Do not ignore this security request."
phishing,SECURITY ALERT: Apple account verification #46180753,"Dear User, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 2 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 46180753."
phishing,FINAL WARNING: Banking account verification #38611449,"Dear User, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 6 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 38611449. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Corporate account verification #59671906,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 1 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 59671906."
phishing,URGENT: Apple account verification #28768018,"Dear Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 2 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 28768018."
phishing,FINAL WARNING: Banking account verification #54762163,"Dear Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 54762163. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,IMPORTANT: Cloud account verification #47205606,"Valued Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 47205606."
phishing,SECURITY ALERT: PayPal account verification #83321274,"Valued Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 24 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 83321274."
phishing,IMPORTANT: PayPal account verification #75542950,"Dear Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 4 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 75542950. Failure to verify may result in permanent account suspension!"
phishing,FINAL WARNING: Google account verification #12943714,"Dear Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 12943714."
phishing,FINAL WARNING: Microsoft account verification #96954291,"Valued Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 48 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 96954291. Do not ignore this security request."
phishing,URGENT: Google account verification #37150597,"Dear User, we detected unusual activity on your Google account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 37150597. Failure to verify may result in permanent account suspension!"
phishing,URGENT: Cloud account verification #35012808,"Dear Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 4 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 35012808."
phishing,URGENT: Payroll account verification #55638040,"Dear Customer, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 1 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 55638040."
phishing,URGENT: PayPal account verification #41597580,"Valued Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 1 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 41597580. Failure to verify may result in permanent account suspension!"
phishing,ACTION REQUIRED: Corporate account verification #42276152,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 48 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 42276152. Do not ignore this security request."
phishing,FINAL WARNING: Microsoft account verification #42422355,"Valued Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 12 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 42422355."
phishing,SECURITY ALERT: Banking account verification #90721348,"Valued Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 1 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 90721348. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Apple account verification #39176656,"Dear Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 48 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 39176656."
phishing,SECURITY ALERT: Payroll account verification #37774020,"Dear User, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 24 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 37774020."
phishing,IMPORTANT: Google account verification #55921005,"Dear Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 4 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 55921005. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,URGENT: Corporate account verification #26502061,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 26502061."
phishing,URGENT: Google account verification #83077786,"Dear Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 1 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 83077786."
phishing,SECURITY ALERT: Amazon account verification #80122624,"Dear Customer, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 24 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 80122624. Failure to verify may result in permanent account suspension!"
phishing,ACTION REQUIRED: Payroll account verification #47778679,"Dear User, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 6 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 47778679."
phishing,FINAL WARNING: PayPal account verification #88932731,"Dear Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 2 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 88932731. Do not ignore this security request."
phishing,IMPORTANT: Corporate account verification #88794440,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 24 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 88794440. Failure to verify may result in permanent account suspension!"
phishing,FINAL WARNING: Corporate account verification #34223072,"Dear Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 48 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 34223072."
phishing,ACTION REQUIRED: Microsoft account verification #37156703,"Dear User, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 12 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 37156703."
phishing,IMPORTANT: Apple account verification #18611287,"Dear Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 24 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 18611287. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Amazon account verification #87271142,"Dear User, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 48 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 87271142. Do not ignore this security request."
phishing,URGENT: Cloud account verification #7551517,"Valued Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 24 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 7551517."
phishing,IMPORTANT: PayPal account verification #7825479,"Dear Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 2 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 7825479. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Payroll account verification #31208329,"Dear User, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 31208329."
phishing,ACTION REQUIRED: PayPal account verification #48199779,"Valued Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 48199779."
phishing,ACTION REQUIRED: Banking account verification #25220816,"Dear Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 2 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 25220816. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,IMPORTANT: Banking account verification #47572095,"Valued Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 48 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 47572095."
phishing,URGENT: Payroll account verification #85781740,"Dear User, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 2 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 85781740."
phishing,URGENT: Cloud account verification #18517756,"Dear Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 24 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 18517756. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Corporate account verification #93362882,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 93362882."
phishing,IMPORTANT: Microsoft account verification #51081833,"Valued Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 12 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 51081833. Do not ignore this security request."
phishing,ACTION REQUIRED: Amazon account verification #11481544,"Dear User, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 2 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 11481544. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Corporate account verification #41664837,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 1 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 41664837."
phishing,IMPORTANT: PayPal account verification #39315126,"Dear User, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 4 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 39315126."
phishing,URGENT: Cloud account verification #52159604,"Valued Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 2 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 52159604. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Banking account verification #47736624,"Dear Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 48 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 47736624. Do not ignore this security request."
phishing,IMPORTANT: Corporate account verification #24109605,"Dear Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 4 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 24109605."
phishing,URGENT: Amazon account verification #15663869,"Dear User, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 12 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 15663869. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Google account verification #40621832,"Dear Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 2 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 40621832."
phishing,ACTION REQUIRED: PayPal account verification #14264193,"Dear Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 4 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 14264193."
phishing,SECURITY ALERT: Google account verification #35242709,"Valued Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 12 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 35242709. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,URGENT: Google account verification #63671338,"Valued Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 63671338."
phishing,ACTION REQUIRED: Corporate account verification #48141861,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 24 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 48141861."
phishing,URGENT: Cloud account verification #9266701,"Dear User, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 48 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 9266701. Failure to verify may result in permanent account suspension!"
phishing,FINAL WARNING: Apple account verification #88867676,"Dear User, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 2 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 88867676."
phishing,ACTION REQUIRED: Payroll account verification #43312204,"Dear User, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 24 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 43312204. Do not ignore this security request."
phishing,ACTION REQUIRED: Cloud account verification #26372862,"Dear Customer, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 48 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 26372862. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Cloud account verification #54989991,"Dear User, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 48 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 54989991."
phishing,IMPORTANT: PayPal account verification #59281182,"Valued Customer, we detected unusual activity on your PayPal account. Verify your password and OTP immediately within 24 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 59281182."
phishing,URGENT: Amazon account verification #35921556,"Dear User, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 4 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 35921556. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Apple account verification #35383871,"Valued Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 2 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 35383871. Do not ignore this security request."
phishing,IMPORTANT: Apple account verification #44530634,"Dear Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 2 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 44530634."
phishing,ACTION REQUIRED: Apple account verification #77094109,"Dear User, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 77094109. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Microsoft account verification #90479439,"Dear Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 90479439."
phishing,SECURITY ALERT: Banking account verification #56967881,"Dear Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 4 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 56967881."
phishing,IMPORTANT: Payroll account verification #1412355,"Valued Customer, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 4 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 1412355. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,IMPORTANT: Apple account verification #44831558,"Dear User, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 44831558."
phishing,URGENT: Banking account verification #45466791,"Dear Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 1 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 45466791."
phishing,FINAL WARNING: Google account verification #43838345,"Dear User, we detected unusual activity on your Google account. Verify your password and OTP immediately within 1 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 43838345. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Corporate account verification #83595248,"Dear Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 24 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 83595248."
phishing,URGENT: Corporate account verification #72339150,"Dear Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 48 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 72339150. Do not ignore this security request."
phishing,FINAL WARNING: Amazon account verification #29448947,"Valued Customer, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 29448947. Failure to verify may result in permanent account suspension!"
phishing,ACTION REQUIRED: Amazon account verification #11313162,"Valued Customer, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 11313162."
phishing,SECURITY ALERT: Corporate account verification #14504016,"Dear User, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 1 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 14504016."
phishing,IMPORTANT: Microsoft account verification #73851935,"Dear Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 24 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 73851935. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Banking account verification #46112589,"Valued Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 4 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 46112589. Do not ignore this security request."
phishing,SECURITY ALERT: Banking account verification #65541675,"Dear Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 4 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 65541675."
phishing,SECURITY ALERT: Banking account verification #2923474,"Dear User, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 6 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 2923474. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Banking account verification #49331615,"Valued Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 4 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 49331615."
phishing,URGENT: Payroll account verification #29299954,"Dear User, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 29299954."
phishing,URGENT: Google account verification #64774101,"Valued Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 64774101. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,SECURITY ALERT: Corporate account verification #65664953,"Dear User, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 4 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 65664953."
phishing,FINAL WARNING: Amazon account verification #75437113,"Dear User, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 48 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 75437113."
phishing,IMPORTANT: Corporate account verification #84630829,"Dear Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 1 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 84630829. Failure to verify may result in permanent account suspension!"
phishing,ACTION REQUIRED: Microsoft account verification #32333421,"Valued Customer, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 2 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 32333421."
phishing,SECURITY ALERT: Corporate account verification #68946163,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 2 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 68946163. Do not ignore this security request."
phishing,SECURITY ALERT: Banking account verification #75013599,"Dear User, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 24 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 75013599. Failure to verify may result in permanent account suspension!"
phishing,IMPORTANT: Payroll account verification #20401126,"Valued Customer, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 20401126."
